Genre,Runtime,Studio,movienane,year
Action,110 minutes,Lions Gate Films,Skinwalkers,2007
Action,101 minutes,Warner Bros. Pictures,New Jack City,1991
Action,92 minutes,The Film Arcade,Wild Card,2015
Action,114 minutes,Focus Features,The Eagle,2011
Action,98 minutes,20th Century Fox,Titanic,1953
Action,114 minutes,The Weinstein Co./Dimension,Death Proof,2007
Action,81 minutes,Universal Pictures,Army of Darkness,1993
Action,168 minutes,Columbia Pictures,The Patriot,2000
Action,97 minutes,Columbia Pictures,I Spy,2002
Action,94 minutes,Sony,John Carpenter's Ghosts of Mars,2001
Action,97 minutes,Lionsgate Premiere,First Kill,2017
Action,94 minutes,Black Dynamite Films,Rabid Dogs (Enrags),2016
Action,143 minutes,MGM,Kelly's Heroes,1970
Action,95 minutes,Vestron Video,Easy Money,1983
Action,110 minutes,Warner Bros. Pictures,Wild America,1997
Action,80 minutes,Walt Disney Pictures,The Rescuers,1977
Action,96 minutes,WARNER BROTHERS PICTURES,Teenage Mutant Ninja Turtles III,1993
Action,99 minutes,Paramount Home Video,The Shootist,1976
Action,93 minutes,Transvue Pictures Corp.,Disco Godfather,1979
Action,100 minutes,United Artists,Hour of the Gun,1967
Action,98 minutes,20th Century Fox,The Princess Bride,1987
Action,136 minutes,MCA Universal Home Video,Backdraft,1991
Action,117 minutes,Vertical Entertainment,Headshot,2017
Action,112 minutes,20th Century Fox,Flight of the Phoenix,2004
Action,96 minutes,Criterion Collection,The Tale of Zatoichi,1962
Action,89 minutes,Disneynature,Disneynature African Cats,2011
Action,92 minutes,MGM Home Entertainment,Into the Blue 2: The Reef,2009
Action,94 minutes,Luminous Velocity,Milarepa,2007
Action,116 minutes,MGM Home Entertainment,The Vikings,1958
Action,138 minutes,Universal Pictures,Hulk,2003
Action,77 minutes,Walt Disney Productions,Doug's 1st Movie,1999
Action,98 minutes,MGM,The Island of Dr. Moreau,1977
Action,86 minutes,Warner Bros. Pictures,Ace Ventura: Pet Detective,1993
Action,101 minutes,Walt Disney Productions,The Journey of Natty Gann,1985
Action,116 minutes,Buena Vista,Cars,2006
Action,85 minutes,Atlantic Releasing,Vida Sin Rumbo,1983
Action,94 minutes,Paramount Pictures,The Hunted,2003
Action,139 minutes,Summit Entertainment,Hacksaw Ridge,2016
Action,121 minutes,MGM Home Entertainment,Blown Away,1994
Action,96 minutes,Media Blasters,Kataude mashin gru (The Machine Girl),2008
Action,90 minutes,Sony Pictures Home Entertainment,The Return of Swamp Thing,1989
Action,119 minutes,Universal Studios,Repo Men,2010
Action,95 minutes,The Weinstein Company,Feast,2006
Action,90 minutes,Warner Bros. Pictures,Legend of the Guardians: The Owls of Ga'Hoole,2010
Action,76 minutes,Lorimar Home Video,Chipmunk Adventure,1987
